"Step","cycle_val_975 - test SSMI_B mean","cycle_val_975 - test SSMI_B mean__MIN","cycle_val_975 - test SSMI_B mean__MAX","cycle_val_65 - test SSMI_B mean","cycle_val_65 - test SSMI_B mean__MIN","cycle_val_65 - test SSMI_B mean__MAX","cycle_val_0 - test SSMI_B mean","cycle_val_0 - test SSMI_B mean__MIN","cycle_val_0 - test SSMI_B mean__MAX"
"105","0.03921817573774992","0.03921817573774992","0.03921817573774992","0.03260026994038517","0.03260026994038517","0.03260026994038517","0.02956096831420853","0.02956096831420853","0.02956096831420853"
"211","0.1852439714185538","0.1852439714185538","0.1852439714185538","0.1516454789927066","0.1516454789927066","0.1516454789927066","0.19736468983257302","0.19736468983257302","0.19736468983257302"
"317","0.33667960989267104","0.33667960989267104","0.33667960989267104","0.22047779722670177","0.22047779722670177","0.22047779722670177","0.29731366220453126","0.29731366220453126","0.29731366220453126"
"423","0.4038617362455947","0.4038617362455947","0.4038617362455947","0.24633124497932413","0.24633124497932413","0.24633124497932413","0.3065646756093848","0.3065646756093848","0.3065646756093848"
"529","0.4211921714200909","0.4211921714200909","0.4211921714200909","0.3175486624459075","0.3175486624459075","0.3175486624459075","0.5389647864631255","0.5389647864631255","0.5389647864631255"
"635","0.4888250246784078","0.4888250246784078","0.4888250246784078","0.2368494325934124","0.2368494325934124","0.2368494325934124","0.4992232381512378","0.4992232381512378","0.4992232381512378"
"741","0.48181429222981786","0.48181429222981786","0.48181429222981786","0.2584607252827818","0.2584607252827818","0.2584607252827818","0.4547418525759489","0.4547418525759489","0.4547418525759489"
"847","0.5471082851812341","0.5471082851812341","0.5471082851812341","0.2595719278831347","0.2595719278831347","0.2595719278831347","0.5228825176151615","0.5228825176151615","0.5228825176151615"
"953","0.5541079989809632","0.5541079989809632","0.5541079989809632","0.2784329083044079","0.2784329083044079","0.2784329083044079","0.46473773715037264","0.46473773715037264","0.46473773715037264"
"1059","0.4913766376883922","0.4913766376883922","0.4913766376883922","0.27308945201961365","0.27308945201961365","0.27308945201961365","0.5371021648198406","0.5371021648198406","0.5371021648198406"
"1165","0.5434952417841733","0.5434952417841733","0.5434952417841733","0.2098121540243548","0.2098121540243548","0.2098121540243548","0.5617728641479599","0.5617728641479599","0.5617728641479599"
"1271","0.5640591072705502","0.5640591072705502","0.5640591072705502","0.33717527005510806","0.33717527005510806","0.33717527005510806","0.5440467029024668","0.5440467029024668","0.5440467029024668"
"1377","0.5598800126029556","0.5598800126029556","0.5598800126029556","0.30605566077548196","0.30605566077548196","0.30605566077548196","0.5273701204642143","0.5273701204642143","0.5273701204642143"
"1483","0.5505598823057875","0.5505598823057875","0.5505598823057875","0.2057733882583683","0.2057733882583683","0.2057733882583683","0.5333427525397125","0.5333427525397125","0.5333427525397125"
"1589","0.5562393087610518","0.5562393087610518","0.5562393087610518","0.3011459669940803","0.3011459669940803","0.3011459669940803","0.5472059907427517","0.5472059907427517","0.5472059907427517"
"1695","0.550508502638561","0.550508502638561","0.550508502638561","0.23069393564411403","0.23069393564411403","0.23069393564411403","0.5382883904011141","0.5382883904011141","0.5382883904011141"
"1801","0.5352838447947484","0.5352838447947484","0.5352838447947484","0.11196596772029482","0.11196596772029482","0.11196596772029482","0.5488203428227653","0.5488203428227653","0.5488203428227653"
"1907","0.5511617213988209","0.5511617213988209","0.5511617213988209","0.260049982738521","0.260049982738521","0.260049982738521","0.5431048168102229","0.5431048168102229","0.5431048168102229"
"2013","0.5577196071097924","0.5577196071097924","0.5577196071097924","0.27103999291263015","0.27103999291263015","0.27103999291263015","0.5482334734509943","0.5482334734509943","0.5482334734509943"
"2119","0.5610615865357217","0.5610615865357217","0.5610615865357217","0.3364312573148138","0.3364312573148138","0.3364312573148138","0.5378182484994377","0.5378182484994377","0.5378182484994377"
"2225","0.5752890208890004","0.5752890208890004","0.5752890208890004","0.22089163355661115","0.22089163355661115","0.22089163355661115","0.5373021933339495","0.5373021933339495","0.5373021933339495"
"2331","0.5772937977056041","0.5772937977056041","0.5772937977056041","0.18628456950360528","0.18628456950360528","0.18628456950360528","0.550884164521502","0.550884164521502","0.550884164521502"
"2437","0.586374079176064","0.586374079176064","0.586374079176064","0.23814563380732953","0.23814563380732953","0.23814563380732953","0.5678996172679434","0.5678996172679434","0.5678996172679434"
"2543","0.5699368210286887","0.5699368210286887","0.5699368210286887","0.2606132177983042","0.2606132177983042","0.2606132177983042","0.5636475510057068","0.5636475510057068","0.5636475510057068"
"2649","0.5825504578767892","0.5825504578767892","0.5825504578767892","0.16847024111164144","0.16847024111164144","0.16847024111164144","0.5727203065137284","0.5727203065137284","0.5727203065137284"
"2755","0.5799237580187929","0.5799237580187929","0.5799237580187929","0.3310470935868122","0.3310470935868122","0.3310470935868122","0.5593907555432752","0.5593907555432752","0.5593907555432752"
"2861","0.5752277325900571","0.5752277325900571","0.5752277325900571","0.2659213887511956","0.2659213887511956","0.2659213887511956","0.587103082344917","0.587103082344917","0.587103082344917"
